omschrijving;mld_dat;Aantal
Arnhem                        ;31/12/2020;4
Breda                         ;31/12/2020;5
Den Bosch                     ;31/12/2020;8
Eindhoven                     ;31/12/2020;9
Haaglanden                    ;31/12/2020;5
Kempenland                    ;31/12/2020;5
Midden Limburg                ;31/12/2020;7
Midden Nederland              ;31/12/2020;7
Nijmegen                      ;31/12/2020;6
NOORD                         ;31/12/2020;4
Ondernemersgebied             ;31/12/2020;17
Oost Brabant                  ;31/12/2020;5
Rotterdam                     ;31/12/2020;6
Tilburg                       ;31/12/2020;8
Twente/Achterhoek             ;31/12/2020;4
Veluwe-IJssel                 ;31/12/2020;3
West Brabant/Zeeland          ;31/12/2020;5
Zuid Limburg                  ;31/12/2020;11
Arnhem                        ;30/12/2020;4
Breda                         ;30/12/2020;3
Den Bosch                     ;30/12/2020;6
Eindhoven                     ;30/12/2020;8
Haaglanden                    ;30/12/2020;4
Kempenland                    ;30/12/2020;7
Midden Limburg                ;30/12/2020;5
Midden Nederland              ;30/12/2020;5
Nijmegen                      ;30/12/2020;10
NOORD                         ;30/12/2020;3
Ondernemersgebied             ;30/12/2020;7
Oost Brabant                  ;30/12/2020;7
Rotterdam                     ;30/12/2020;4
Tilburg                       ;30/12/2020;7
Twente/Achterhoek             ;30/12/2020;5
Veluwe-IJssel                 ;30/12/2020;3
West Brabant/Zeeland          ;30/12/2020;9
Zuid Limburg                  ;30/12/2020;8
Arnhem                        ;29/12/2020;4
Breda                         ;29/12/2020;3
Den Bosch                     ;29/12/2020;8
Eindhoven                     ;29/12/2020;11
Haaglanden                    ;29/12/2020;1
Kempenland                    ;29/12/2020;10
Midden Limburg                ;29/12/2020;7
Midden Nederland              ;29/12/2020;9
Nijmegen                      ;29/12/2020;3
NOORD                         ;29/12/2020;9
Ondernemersgebied             ;29/12/2020;4
Oost Brabant                  ;29/12/2020;6
Rotterdam                     ;29/12/2020;7
Tilburg                       ;29/12/2020;6
Twente/Achterhoek             ;29/12/2020;5
West Brabant/Zeeland          ;29/12/2020;8
Zuid Limburg                  ;29/12/2020;4
Arnhem                        ;28/12/2020;6
Breda                         ;28/12/2020;5
Den Bosch                     ;28/12/2020;12
Eindhoven                     ;28/12/2020;9
Kempenland                    ;28/12/2020;7
Midden Limburg                ;28/12/2020;6
Midden Nederland              ;28/12/2020;7
Nijmegen                      ;28/12/2020;4
NOORD                         ;28/12/2020;4
Ondernemersgebied             ;28/12/2020;13
Oost Brabant                  ;28/12/2020;9
Rotterdam                     ;28/12/2020;11
Tilburg                       ;28/12/2020;9
Twente/Achterhoek             ;28/12/2020;7
Veluwe-IJssel                 ;28/12/2020;2
West Brabant/Zeeland          ;28/12/2020;6
Zuid Limburg                  ;28/12/2020;6
Arnhem                        ;27/12/2020;4
Breda                         ;27/12/2020;2
Den Bosch                     ;27/12/2020;7
Eindhoven                     ;27/12/2020;6
Haaglanden                    ;27/12/2020;5
Kempenland                    ;27/12/2020;5
Midden Limburg                ;27/12/2020;4
Midden Nederland              ;27/12/2020;8
Nijmegen                      ;27/12/2020;1
NOORD                         ;27/12/2020;3
Ondernemersgebied             ;27/12/2020;13
Oost Brabant                  ;27/12/2020;6
Rotterdam                     ;27/12/2020;4
Tilburg                       ;27/12/2020;4
Twente/Achterhoek             ;27/12/2020;7
West Brabant/Zeeland          ;27/12/2020;5
Zuid Limburg                  ;27/12/2020;4
Arnhem                        ;26/12/2020;9
Breda                         ;26/12/2020;8
Den Bosch                     ;26/12/2020;5
Eindhoven                     ;26/12/2020;5
Haaglanden                    ;26/12/2020;2
Kempenland                    ;26/12/2020;1
Midden Limburg                ;26/12/2020;5
Midden Nederland              ;26/12/2020;7
Nijmegen                      ;26/12/2020;9
NOORD                         ;26/12/2020;6
Ondernemersgebied             ;26/12/2020;7
Oost Brabant                  ;26/12/2020;4
Rotterdam                     ;26/12/2020;3
Tilburg                       ;26/12/2020;5
Twente/Achterhoek             ;26/12/2020;2
Veluwe-IJssel                 ;26/12/2020;4
West Brabant/Zeeland          ;26/12/2020;6
Zuid Limburg                  ;26/12/2020;6
Arnhem                        ;25/12/2020;7
Breda                         ;25/12/2020;6
Den Bosch                     ;25/12/2020;5
Eindhoven                     ;25/12/2020;2
Haaglanden                    ;25/12/2020;3
Kempenland                    ;25/12/2020;4
Midden Limburg                ;25/12/2020;4
Midden Nederland              ;25/12/2020;5
Nijmegen                      ;25/12/2020;8
NOORD                         ;25/12/2020;7
Ondernemersgebied             ;25/12/2020;13
Oost Brabant                  ;25/12/2020;5
Rotterdam                     ;25/12/2020;3
Tilburg                       ;25/12/2020;7
Twente/Achterhoek             ;25/12/2020;4
Veluwe-IJssel                 ;25/12/2020;2
West Brabant/Zeeland          ;25/12/2020;1
Zuid Limburg                  ;25/12/2020;5
Arnhem                        ;24/12/2020;6
Breda                         ;24/12/2020;4
Den Bosch                     ;24/12/2020;5
Eindhoven                     ;24/12/2020;9
Kempenland                    ;24/12/2020;4
Midden Limburg                ;24/12/2020;5
Midden Nederland              ;24/12/2020;10
Nijmegen                      ;24/12/2020;6
NOORD                         ;24/12/2020;4
Ondernemersgebied             ;24/12/2020;10
Oost Brabant                  ;24/12/2020;7
Rotterdam                     ;24/12/2020;6
Tilburg                       ;24/12/2020;8
Twente/Achterhoek             ;24/12/2020;5
Veluwe-IJssel                 ;24/12/2020;2
West Brabant/Zeeland          ;24/12/2020;2
Zuid Limburg                  ;24/12/2020;3
Arnhem                        ;23/12/2020;6
Breda                         ;23/12/2020;7
Den Bosch                     ;23/12/2020;10
Eindhoven                     ;23/12/2020;8
Haaglanden                    ;23/12/2020;3
Kempenland                    ;23/12/2020;2
Midden Limburg                ;23/12/2020;7
Midden Nederland              ;23/12/2020;11
Nijmegen                      ;23/12/2020;3
NOORD                         ;23/12/2020;2
Ondernemersgebied             ;23/12/2020;12
Oost Brabant                  ;23/12/2020;6
Rotterdam                     ;23/12/2020;4
Tilburg                       ;23/12/2020;5
Twente/Achterhoek             ;23/12/2020;6
Veluwe-IJssel                 ;23/12/2020;2
West Brabant/Zeeland          ;23/12/2020;8
Zuid Limburg                  ;23/12/2020;4
Arnhem                        ;22/12/2020;4
Breda                         ;22/12/2020;5
Den Bosch                     ;22/12/2020;7
Eindhoven                     ;22/12/2020;5
Haaglanden                    ;22/12/2020;4
Kempenland                    ;22/12/2020;4
Midden Limburg                ;22/12/2020;10
Midden Nederland              ;22/12/2020;7
Nijmegen                      ;22/12/2020;4
NOORD                         ;22/12/2020;3
Ondernemersgebied             ;22/12/2020;11
Oost Brabant                  ;22/12/2020;4
Rotterdam                     ;22/12/2020;5
Tilburg                       ;22/12/2020;10
Twente/Achterhoek             ;22/12/2020;11
Veluwe-IJssel                 ;22/12/2020;6
West Brabant/Zeeland          ;22/12/2020;5
Zuid Limburg                  ;22/12/2020;8
Arnhem                        ;21/12/2020;11
